% Model:              Design.mph
% Version:            COMSOL 6.3.0.335
% Date:               May 13 2025, 17:39
% Dimension:          1
% Nodes:              1673
% Expressions:        1
% Description:        Line graph
% y-coordinate (µm),Port tangential electric mode field; z-component
0,3.2331607701371984E-7
0.013257575757575782,3.5647625652533364E-7
0.026515151515151564,4.1004586221022513E-7
0.03977272727272734,4.840248940683941E-7
0.05303030303030313,5.78413352099841E-7
0.06628787878787891,6.932112363045653E-7
0.07954545454545468,8.284185466825675E-7
0.09280303030303046,9.840352832338474E-7
0.10606060606060626,1.1600614459584046E-6
0.11931818181818203,1.3564970348562399E-6
0.13257575757575782,1.5733420499273524E-6
0.1458333333333336,1.8105964911717427E-6
0.15909090909090937,1.9962962176222384E-6
0.17234848484848514,2.296290400805823E-6
0.18560606060606094,2.710579040722494E-6
0.19886363636363671,3.2391621373722532E-6
0.21212121212121252,3.882039690755098E-6
0.2253787878787883,4.639211700871033E-6
0.23863636363636406,5.510678167720055E-6
0.2518939393939399,6.4964390913021635E-6
0.2651515151515157,7.596494471617362E-6
0.27840909090909144,8.810844308665644E-6
0.29166666666666724,1.0139488602447016E-5
0.30492424242424304,1.117942227418833E-5
0.3181818181818188,1.285941426278502E-5
0.3314393939393946,1.5179464568237087E-5
0.34469696969697045,1.8139573190544538E-5
0.35795454545454625,2.173974012970736E-5
0.371212121212122,2.5979965385725563E-5
0.38446969696969785,3.0860248958599144E-5
0.39772727272727365,3.63805908483281E-5
0.4109848484848494,4.254099105491245E-5
0.42424242424242514,4.9341449578352154E-5
0.437500000000001,5.678196641864724E-5
0.45075757575757675,6.260568012965911E-5
0.4640151515151525,7.201377282703027E-5
0.47727272727272835,8.500624451076066E-5
0.4905303030303041,1.0158309518085036E-4
0.5037878787878798,1.2174432483729926E-4
0.5170454545454556,1.4548993348010748E-4
0.5303030303030314,1.7281992110927495E-4
0.5435606060606071,2.0373428772480168E-4
0.5568181818181829,2.3823303332668776E-4
0.5700757575757587,2.76316157914933E-4
0.5833333333333345,3.179836614895375E-4
0.5965909090909103,3.5059693513139794E-4
0.609848484848486,4.0328302459700075E-4
0.6231060606060618,4.760419298863462E-4
0.6363636363636376,5.688736509994342E-4
0.6496212121212134,6.817781879362643E-4
0.6628787878787892,8.147555406968373E-4
0.676136363636365,9.678057092811527E-4
0.6893939393939409,0.0011409286936892103
0.7026515151515167,0.001334124493921011
0.7159090909090924,0.0015473931099765537
0.7291666666666682,0.0017807345418558388
0.742424242424244,0.001963371544748771
0.7556818181818198,0.0022584179598798743
0.7689393939393956,0.0026658737872491483
0.7821969696969715,0.0031857390268565946
0.7954545454545471,0.00381801367870221
0.808712121212123,0.004562697742785998
0.8219696969696989,0.005419791219107956
0.8352272727272747,0.006389294107668086
0.8484848484848504,0.007471206408466388
0.8617424242424262,0.008665528121502859
0.875000000000002,0.0099722592467775
0.8882575757575777,0.01099504141785264
0.9015151515151534,0.012647325501919915
0.9147727272727293,0.014929111498979308
0.928030303030305,0.017840399409030837
0.9412878787878807,0.021381189232074483
0.9545454545454565,0.025551480968110267
0.9678030303030323,0.030351274617138175
0.981060606060608,0.03578057017915821
0.9943181818181835,0.04183936765417037
1.0075757575757593,0.04852766704217466
1.020833333333335,0.05584546834317108
1.034090909090911,0.061573132249946726
1.0473484848484866,0.0708260584151554
1.0606060606060628,0.08360424683879707
1.0738636363636385,0.09990769752087178
1.0871212121212142,0.11973641046137945
1.10037878787879,0.1430903856603202
1.1136363636363658,0.16996962311769392
1.126893939393942,0.20037412283350067
1.1401515151515176,0.23430388480774048
1.1534090909090933,0.2717589090404132
1.1666666666666692,0.312739195531519
1.1799242424242449,0.34481458240933555
1.1931818181818206,0.39663172659438933
1.2064393939393965,0.46819062808668027
1.2196969696969722,0.5594912868862084
1.232954545454548,0.6705337029929737
1.2462121212121238,0.801317876406976
1.2594696969696995,0.9518438071282157
1.2727272727272754,1.1221114951566928
1.285984848484851,1.3121209404924068
1.299242424242427,1.521872143135358
1.3125000000000027,1.7513651030855464
1.3257575757575784,1.9309898960389995
1.3390151515151543,2.221170146432689
1.35227272727273,2.6219058542666147
1.3655303030303059,3.1331970195407797
1.3787878787878816,3.755043642255179
1.3920454545454573,4.4874457224098165
1.4053030303030332,5.330403260004689
1.4185606060606089,6.2839162550398004
1.4318181818181848,7.347984707515149
1.4450757575757605,8.522608617430732
1.4583333333333361,9.807787984786552
1.471590909090912,10.81370153359188
1.4848484848484877,12.438734696705279
1.4981060606060637,14.682887474126755
1.5113636363636396,17.546159865856314
1.524621212121215,21.028551871893935
1.5378787878787912,25.13006349223964
1.5511363636363666,29.85069472689342
1.5643939393939428,35.19044557585527
1.5776515151515185,41.1493160391252
1.5909090909090942,47.72730611670321
1.60416666666667,54.92441580858929
1.6174242424242453,60.55761404939336
1.630681818181821,69.65793282586301
1.6439393939393965,82.2253721379982
1.6571969696969717,98.25993198579903
1.6704545454545472,117.76161236926536
1.6837121212121229,140.73041328839733
1.6969696969696983,167.16633474319485
1.7102272727272736,197.06937673365795
1.723484848484849,230.4395392597866
1.7367424242424245,267.2768223215808
1.75,307.58122591904066
1.7613636363636362,349.68949880063803
1.7727272727272727,390.2841027057375
1.784090909090909,429.36503763433893
1.7954545454545456,466.9323035864428
1.8068181818181817,502.9859005620485
1.8181818181818183,537.5258285611563
1.8295454545454544,570.5520875837665
1.840909090909091,602.0646776298785
1.852272727272727,632.0635986994928
1.8636363636363635,660.5488507926091
1.8749999999999998,687.5204339092274
1.8863636363636362,712.0677732301301
1.8977272727272725,734.3059636344963
1.9090909090909092,754.2350051223257
1.9204545454545452,771.8548976936187
1.9318181818181819,787.1656413483747
1.943181818181818,800.1672360865947
1.9545454545454546,810.8596819082777
1.9659090909090906,819.2429788134242
1.9772727272727273,825.3171268020342
1.9886363636363638,829.0821258741075
2,830.5379760296443
2.0113636363636362,829.0652928119285
2.0227272727272725,825.2837205892322
2.034090909090909,819.1932593615551
2.0454545454545454,810.7939091288978
2.0568181818181817,800.0856698912593
2.068181818181818,787.0685416486406
2.0795454545454546,771.742524401041
2.090909090909091,754.1076181484607
2.102272727272727,734.1638228909001
2.1136363636363638,711.9111386283587
2.125,687.3495653608364
2.1363636363636367,660.364350791718
2.1477272727272725,631.8661574144445
2.1590909090909087,601.8549852290155
2.1704545454545454,570.3308342354313
2.181818181818182,537.2937044336918
2.193181818181818,502.7435958237973
2.2045454545454546,466.6805084057473
2.215909090909091,429.10444217954193
2.2272727272727275,390.0153971451814
2.2386363636363633,349.41337330266583
2.25,307.29837065199473
2.26403743315508,265.26507648483357
2.27807486631016,226.9560855359678
2.2921122994652405,192.3713978053974
2.3061497326203204,161.5110132931225
2.3201871657754003,134.37493199914286
2.334224598930481,110.9631539234587
2.348262032085561,91.2756790660699
2.3622994652406413,75.31250742697642
2.376336898395721,63.07363900617841
2.3903743315508015,54.559073803675844
2.4044117647058814,49.768811819468596
2.4184491978609617,42.961268053065474
2.4324866310160416,36.756897501140266
2.446524064171122,31.155700163692952
2.460561497326202,26.15767604072356
2.4745989304812825,21.762825132232056
2.4886363636363624,17.971147438218466
2.5026737967914428,14.782642958682777
2.5167112299465226,12.197311693624984
2.530748663101603,10.215153643045104
2.5447860962566833,8.836168806943137
2.5588235294117636,8.060357185319063
2.572860962566844,6.957834695713697
2.586898395721924,5.952999721151783
2.600935828877004,5.045852261633317
2.6149732620320845,4.236392317158303
2.629010695187165,3.524619887726739
2.643048128342245,2.9105349733386268
2.657085561497325,2.3941375739939637
2.6711229946524058,1.9754276896927496
2.6851604278074857,1.6544053204349876
2.699197860962566,1.4310704662206777
2.7132352941176463,1.3054231270498167
2.727272727272726,1.1268630058377174
2.7413101604278065,0.9641239628272168
2.7553475935828873,0.8172059980183138
2.769385026737967,0.6861091114110094
